cycles,ns,cdf
640,533.3333333333334,0
640,533.3333333333334,0.003501415252685547
656,546.6666666666666,0.02133995294570923
672,560.0,0.023509740829467773
688,573.3333333333334,0.023543953895568848
704,586.6666666666666,0.023546159267425537
752,626.6666666666666,0.023546218872070312
784,653.3333333333334,0.02355337142944336
800,666.6666666666666,0.15139657258987427
816,680.0,0.8414778709411621
832,693.3333333333334,0.9768036603927612
848,706.6666666666666,0.9813725352287292
864,720.0,0.9842333793640137
880,733.3333333333334,0.9874155521392822
896,746.6666666666666,0.9902029633522034
912,760.0,0.9923650622367859
928,773.3333333333334,0.9939561486244202
944,786.6666666666666,0.9949939250946045
960,800.0,0.9961636066436768
976,813.3333333333334,0.9972559809684753
992,826.6666666666666,0.9982580542564392
1008,840.0,0.999136209487915
1024,853.3333333333334,0.9995007514953613
1040,866.6666666666666,0.9995389580726624
1056,880.0,0.9995614290237427
1072,893.3333333333334,0.9998268485069275
1088,906.6666666666666,0.9999910593032837
1104,920.0,0.9999955296516418
1120,933.3333333333334,0.9999977350234985
1136,946.6666666666666,0.9999983310699463
1152,960.0,0.9999986886978149
1168,973.3333333333334,0.999998927116394
1184,986.6666666666666,0.9999994039535522
1920,1600.0,0.999999463558197
1936,1613.3333333333333,0.9999995231628418
1952,1626.6666666666667,0.9999995827674866
1968,1640.0,0.9999999403953552
2000,1666.6666666666667,1.0
784,653.3333333333334,0
784,653.3333333333334,0.0014310479164123535
800,666.6666666666666,0.38704681396484375
816,680.0,0.9463759064674377
832,693.3333333333334,0.9723023772239685
848,706.6666666666666,0.9761790633201599
864,720.0,0.9794245362281799
880,733.3333333333334,0.9831295609474182
896,746.6666666666666,0.9869503974914551
912,760.0,0.9909699559211731
928,773.3333333333334,0.9938974976539612
944,786.6666666666666,0.9960117340087891
960,800.0,0.9977790117263794
976,813.3333333333334,0.9986940026283264
992,826.6666666666666,0.9992297887802124
1008,840.0,0.9996479749679565
1024,853.3333333333334,0.9997568130493164
1040,866.6666666666666,0.9997793436050415
1056,880.0,0.9998353123664856
1072,893.3333333333334,0.999978244304657
1088,906.6666666666666,0.999995768070221
1104,920.0,0.9999976754188538
1120,933.3333333333334,0.9999987483024597
1136,946.6666666666666,0.9999990463256836
1152,960.0,0.9999991059303284
1168,973.3333333333334,0.9999994039535522
1184,986.6666666666666,0.9999995231628418
1920,1600.0,0.9999996423721313
1936,1613.3333333333333,0.9999997019767761
1952,1626.6666666666667,0.9999998211860657
1968,1640.0,0.9999999403953552
2080,1733.3333333333333,1.0
640,533.3333333333334,0
640,533.3333333333334,0.0034487247467041016
656,546.6666666666666,0.019919216632843018
672,560.0,0.021953105926513672
688,573.3333333333334,0.021984577178955078
704,586.6666666666666,0.021986305713653564
752,626.6666666666666,0.02198636531829834
784,653.3333333333334,0.02199530601501465
800,666.6666666666666,0.14450383186340332
816,680.0,0.8346959352493286
832,693.3333333333334,0.9748465418815613
848,706.6666666666666,0.9794259667396545
864,720.0,0.9821094274520874
880,733.3333333333334,0.9848446249961853
896,746.6666666666666,0.9873974323272705
912,760.0,0.9898581504821777
928,773.3333333333334,0.991940438747406
944,786.6666666666666,0.9934138655662537
960,800.0,0.9948055148124695
976,813.3333333333334,0.9961197972297668
992,826.6666666666666,0.9974838495254517
1008,840.0,0.998775064945221
1024,853.3333333333334,0.9993507862091064
1040,866.6666666666666,0.9994034171104431
1056,880.0,0.999428391456604
1072,893.3333333333334,0.9997496008872986
1088,906.6666666666666,0.9999755620956421
1104,920.0,0.9999839067459106
1120,933.3333333333334,0.9999917149543762
1136,946.6666666666666,0.9999969005584717
1152,960.0,0.9999976754188538
1168,973.3333333333334,0.9999982714653015
1184,986.6666666666666,0.9999989867210388
1200,1000.0,0.9999991655349731
1232,1026.6666666666667,0.9999992847442627
1248,1040.0,0.9999993443489075
1280,1066.6666666666667,0.9999994039535522
1296,1080.0,0.999999463558197
1392,1160.0,0.9999995231628418
1920,1600.0,0.9999996423721313
1952,1626.6666666666667,0.9999997019767761
1968,1640.0,0.9999998211860657
2000,1666.6666666666667,0.9999998807907104
2032,1693.3333333333333,0.9999999403953552
2112,1760.0,1.0
784,653.3333333333334,0
784,653.3333333333334,0.00038439035415649414
800,666.6666666666666,0.2656351923942566
816,680.0,0.9167614579200745
832,693.3333333333334,0.9751149415969849
848,706.6666666666666,0.9789020419120789
864,720.0,0.98161780834198
880,733.3333333333334,0.9844518303871155
896,746.6666666666666,0.9871554970741272
912,760.0,0.9900057911872864
928,773.3333333333334,0.9924198389053345
