cycles,ns,cdf
704,586.6666666666666,0
704,586.6666666666666,0.06585657596588135
720,600.0,0.9166240692138672
736,613.3333333333334,0.9751933217048645
752,626.6666666666666,0.9824540019035339
768,640.0,0.9842963218688965
784,653.3333333333334,0.9849907159805298
800,666.6666666666666,0.9854909181594849
816,680.0,0.9859975576400757
832,693.3333333333334,0.9865514039993286
848,706.6666666666666,0.987160861492157
864,720.0,0.9878503680229187
880,733.3333333333334,0.9886288046836853
896,746.6666666666666,0.9894509315490723
912,760.0,0.990315318107605
928,773.3333333333334,0.9912174940109253
944,786.6666666666666,0.9921726584434509
960,800.0,0.9932591915130615
976,813.3333333333334,0.9943723082542419
992,826.6666666666666,0.9956799149513245
1008,840.0,0.9970574975013733
1024,853.3333333333334,0.9984920620918274
1040,866.6666666666666,0.9995031952857971
1056,880.0,0.9995448589324951
1072,893.3333333333334,0.9995502829551697
1088,906.6666666666666,0.9997373819351196
1104,920.0,0.9999942779541016
1120,933.3333333333334,0.999997615814209
1136,946.6666666666666,0.9999993443489075
1184,986.6666666666666,0.9999995827674866
1200,1000.0,0.9999997019767761
1232,1026.6666666666667,0.9999998211860657
1248,1040.0,1.0
624,520.0,0
624,520.0,0.00013744831085205078
640,533.3333333333334,0.012345373630523682
656,546.6666666666666,0.5728012323379517
672,560.0,0.9858313798904419
688,573.3333333333334,0.9921730756759644
704,586.6666666666666,0.9938859343528748
720,600.0,0.9992555379867554
736,613.3333333333334,0.9997738003730774
752,626.6666666666666,0.9998132586479187
768,640.0,0.999824583530426
784,653.3333333333334,0.999832272529602
800,666.6666666666666,0.9998440146446228
816,680.0,0.9998568892478943
832,693.3333333333334,0.9998680949211121
848,706.6666666666666,0.999877393245697
864,720.0,0.9998859763145447
880,733.3333333333334,0.9998967051506042
896,746.6666666666666,0.999909520149231
912,760.0,0.9999213218688965
928,773.3333333333334,0.9999288320541382
944,786.6666666666666,0.9999364614486694
960,800.0,0.9999489188194275
976,813.3333333333334,0.9999621510505676
992,826.6666666666666,0.9999715089797974
1008,840.0,0.9999817609786987
1024,853.3333333333334,0.9999905824661255
1040,866.6666666666666,0.9999966621398926
1056,880.0,0.9999971985816956
1072,893.3333333333334,0.9999972581863403
1088,906.6666666666666,0.9999977350234985
1104,920.0,0.9999998211860657
1136,946.6666666666666,0.9999999403953552
1200,1000.0,1.0
704,586.6666666666666,0
704,586.6666666666666,0.07233428955078125
720,600.0,0.9139650464057922
736,613.3333333333334,0.9659901857376099
752,626.6666666666666,0.9730747938156128
768,640.0,0.9752260446548462
784,653.3333333333334,0.976477861404419
800,666.6666666666666,0.9776309728622437
816,680.0,0.9788053035736084
832,693.3333333333334,0.98003089427948
848,706.6666666666666,0.9813191890716553
864,720.0,0.9826703071594238
880,733.3333333333334,0.9840813279151917
896,746.6666666666666,0.9853764176368713
