Test,PAT,Cache,HO,DO,WinSZ,SZ,TAvg,Avg,Med,Min,Max,95%,99.9%,TAvg(ns),Avg(ns),Med(ns),Min(ns),Max(ns),95%(ns),99.9%(ns),#outliers,#samples
LAT_CMD_WRRD,Seq,Cold,0,0,4096,8,914,658.5818252563477,656.0,640,1216,672.0,704.0,761.6666666666666,548.818187713623,546.6666666666666,533.3333333333334,1013.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,1,0,4096,8,914,658.5358276367188,656.0,640,1056,672.0,704.0,761.6666666666666,548.7798563639323,546.6666666666666,533.3333333333334,880.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,2,0,4096,8,914,658.5307159423828,656.0,640,1056,672.0,704.0,761.6666666666666,548.7755966186523,546.6666666666666,533.3333333333334,880.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,3,0,4096,8,914,658.5791473388672,656.0,640,1072,672.0,704.0,761.6666666666666,548.8159561157227,546.6666666666666,533.3333333333334,893.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,4,0,4096,8,914,658.5790557861328,656.0,640,1216,672.0,704.0,761.6666666666666,548.8158798217773,546.6666666666666,533.3333333333334,1013.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,6,0,4096,8,914,658.5782089233398,656.0,640,1024,672.0,704.0,761.6666666666666,548.8151741027832,546.6666666666666,533.3333333333334,853.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,8,0,4096,8,914,658.5234603881836,656.0,640,1152,672.0,704.0,761.6666666666666,548.7695503234863,546.6666666666666,533.3333333333334,960.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,16,0,4096,8,914,658.5746688842773,656.0,640,1040,672.0,704.0,761.6666666666666,548.8122240702311,546.6666666666666,533.3333333333334,866.6666666666666,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,32,0,4096,8,916,660.9719009399414,656.0,640,1104,672.0,704.0,763.3333333333334,550.8099174499512,546.6666666666666,533.3333333333334,920.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,48,0,4096,8,916,660.9683380126953,656.0,640,1152,672.0,704.0,763.3333333333334,550.8069483439127,546.6666666666666,533.3333333333334,960.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,0,0,4096,8,914,658.539306640625,656.0,640,1088,672.0,704.0,761.6666666666666,548.7827555338541,546.6666666666666,533.3333333333334,906.6666666666666,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,1,0,4096,8,914,658.5772857666016,656.0,640,1168,672.0,704.0,761.6666666666666,548.8144048055013,546.6666666666666,533.3333333333334,973.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,2,0,4096,8,914,658.5735778808594,656.0,640,1088,672.0,704.0,761.6666666666666,548.8113149007162,546.6666666666666,533.3333333333334,906.6666666666666,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,3,0,4096,8,914,658.5807723999023,656.0,640,1136,672.0,704.0,761.6666666666666,548.817310333252,546.6666666666666,533.3333333333334,946.6666666666666,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,4,0,4096,8,914,658.5266189575195,656.0,640,1024,672.0,704.0,761.6666666666666,548.7721824645996,546.6666666666666,533.3333333333334,853.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,6,0,4096,8,914,658.5864639282227,656.0,640,1072,672.0,704.0,761.6666666666666,548.8220532735189,546.6666666666666,533.3333333333334,893.3333333333334,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,8,0,4096,8,914,658.5476760864258,656.0,640,1248,672.0,704.0,761.6666666666666,548.7897300720215,546.6666666666666,533.3333333333334,1040.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,16,0,4096,8,914,658.5336608886719,656.0,640,960,672.0,704.0,761.6666666666666,548.7780507405599,546.6666666666666,533.3333333333334,800.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,32,0,4096,8,916,660.9295120239258,656.0,640,1152,672.0,704.0,763.3333333333334,550.7745933532715,546.6666666666666,533.3333333333334,960.0,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,HWarm,48,0,4096,8,916,660.9774780273438,656.0,640,1136,672.0,704.0,763.3333333333334,550.8145650227865,546.6666666666666,533.3333333333334,946.6666666666666,560.0,586.6666666666666,0,2097152
LAT_CMD_WRRD,Seq,Cold,0,0,8388608,8,1008,753.289909362793,736.0,656,1328,784.0,1216.0,840.0,627.7415911356608,613.3333333333334,546.6666666666666,1106.6666666666667,653.3333333333334,1013.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,Cold,1,0,8388608,8,1008,753.3728637695312,736.0,672,1424,784.0,1216.0,840.0,627.8107198079427,613.3333333333334,560.0,1186.6666666666667,653.3333333333334,1013.3333333333334,0,2097152
LAT_CMD_WRRD,Seq,Cold,2,0,8388608,8,1008,753.4360580444336,736.0,656,1344,784.0,1216.0,840.0,627.8633817036947,613.3333333333334,546.6666666666666,1120.0,653.3333333333334,1013.3333333333334,0,2097152
