cycles,ns,cdf
544,453.3333333333333,0
544,453.3333333333333,0.10872632265090942
560,466.6666666666667,0.9413199424743652
576,480.0,0.9666410088539124
592,493.3333333333333,0.9722133278846741
608,506.6666666666667,0.9740760326385498
624,520.0,0.9755311012268066
640,533.3333333333334,0.976738452911377
656,546.6666666666666,0.9780163168907166
672,560.0,0.9792277216911316
688,573.3333333333334,0.9805228114128113
704,586.6666666666666,0.9816421270370483
720,600.0,0.982476532459259
736,613.3333333333334,0.983100414276123
752,626.6666666666666,0.9837636947631836
768,640.0,0.9844091534614563
784,653.3333333333334,0.985138475894928
800,666.6666666666666,0.9859009981155396
816,680.0,0.9867345690727234
832,693.3333333333334,0.9876153469085693
848,706.6666666666666,0.9885967373847961
864,720.0,0.9897017478942871
880,733.3333333333334,0.9908120632171631
896,746.6666666666666,0.9920972585678101
912,760.0,0.9934112429618835
928,773.3333333333334,0.9946953654289246
944,786.6666666666666,0.9961397647857666
960,800.0,0.997597336769104
976,813.3333333333334,0.9990501999855042
992,826.6666666666666,0.9994953274726868
1008,840.0,0.9995130896568298
1024,853.3333333333334,0.9995195269584656
1040,866.6666666666666,0.9999014735221863
1056,880.0,0.9999966025352478
1072,893.3333333333334,0.9999989867210388
1088,906.6666666666666,0.9999993443489075
1104,920.0,0.9999994039535522
1120,933.3333333333334,0.9999995231628418
1136,946.6666666666666,0.9999995827674866
1152,960.0,0.9999996423721313
1168,973.3333333333334,0.9999998807907104
1184,986.6666666666666,1.0
544,453.3333333333333,0
544,453.3333333333333,0.11002779006958008
560,466.6666666666667,0.9412015080451965
576,480.0,0.9666272401809692
592,493.3333333333333,0.9722009897232056
608,506.6666666666667,0.9740728139877319
624,520.0,0.9755339026451111
640,533.3333333333334,0.9767500162124634
656,546.6666666666666,0.9780094027519226
672,560.0,0.979214608669281
688,573.3333333333334,0.9805344343185425
704,586.6666666666666,0.9816480875015259
720,600.0,0.9824759364128113
736,613.3333333333334,0.9830846786499023
752,626.6666666666666,0.9837562441825867
768,640.0,0.9844022989273071
784,653.3333333333334,0.9851275682449341
800,666.6666666666666,0.9858893752098083
816,680.0,0.9867228865623474
832,693.3333333333334,0.9875954985618591
848,706.6666666666666,0.9886057376861572
864,720.0,0.9897001385688782
880,733.3333333333334,0.9908262491226196
896,746.6666666666666,0.9921038150787354
912,760.0,0.9934443831443787
928,773.3333333333334,0.9947149753570557
944,786.6666666666666,0.9961654543876648
960,800.0,0.9976105690002441
976,813.3333333333334,0.9990530014038086
992,826.6666666666666,0.999505877494812
1008,840.0,0.9995211362838745
1024,853.3333333333334,0.9995280504226685
1040,866.6666666666666,0.9999023079872131
1056,880.0,0.9999973773956299
1072,893.3333333333334,0.9999995827674866
1088,906.6666666666666,0.9999997615814209
1104,920.0,0.9999998211860657
1120,933.3333333333334,0.9999998807907104
1136,946.6666666666666,1.0
544,453.3333333333333,0
544,453.3333333333333,0.11165964603424072
560,466.6666666666667,0.9323709607124329
576,480.0,0.9555712938308716
592,493.3333333333333,0.9617330431938171
608,506.6666666666667,0.9635913372039795
624,520.0,0.9648609757423401
640,533.3333333333334,0.9660517573356628
656,546.6666666666666,0.967316746711731
672,560.0,0.9687885642051697
688,573.3333333333334,0.9703116416931152
704,586.6666666666666,0.9720059037208557
720,600.0,0.9736984968185425
736,613.3333333333334,0.9754928350448608
752,626.6666666666666,0.977364182472229
768,640.0,0.9790427684783936
784,653.3333333333334,0.9804661273956299
800,666.6666666666666,0.9818354845046997
816,680.0,0.9832073450088501
832,693.3333333333334,0.9846298098564148
848,706.6666666666666,0.9860815405845642
864,720.0,0.9876590967178345
880,733.3333333333334,0.989276647567749
896,746.6666666666666,0.9910600781440735
912,760.0,0.99286949634552
928,773.3333333333334,0.994586706161499
944,786.6666666666666,0.9962413907051086
960,800.0,0.9977622032165527
976,813.3333333333334,0.9991223812103271
992,826.6666666666666,0.9994792938232422
1008,840.0,0.9994958639144897
1024,853.3333333333334,0.9995009303092957
1040,866.6666666666666,0.9998781085014343
1056,880.0,0.9999967217445374
1072,893.3333333333334,0.9999992251396179
1088,906.6666666666666,0.9999995231628418
1104,920.0,0.9999996423721313
1120,933.3333333333334,0.9999997615814209
1136,946.6666666666666,0.9999998211860657
1168,973.3333333333334,1.0
544,453.3333333333333,0
544,453.3333333333333,0.08656352758407593
560,466.6666666666667,0.9265494346618652
576,480.0,0.9552528858184814
592,493.3333333333333,0.9616968035697937
608,506.6666666666667,0.9636257290840149
624,520.0,0.9649129509925842
640,533.3333333333334,0.9660892486572266
656,546.6666666666666,0.9673553705215454
672,560.0,0.9688130021095276
688,573.3333333333334,0.970348060131073
704,586.6666666666666,0.9720585942268372
720,600.0,0.9737538695335388
736,613.3333333333334,0.9755570292472839
752,626.6666666666666,0.9774211645126343
768,640.0,0.9790920615196228
784,653.3333333333334,0.980547308921814
800,666.6666666666666,0.9819280505180359
816,680.0,0.983288586139679
832,693.3333333333334,0.9847025275230408
848,706.6666666666666,0.9861456155776978
864,720.0,0.9877119660377502
880,733.3333333333334,0.9893113970756531
896,746.6666666666666,0.9910621047019958
912,760.0,0.9928557872772217
928,773.3333333333334,0.9945719242095947
944,786.6666666666666,0.9962224960327148
960,800.0,0.9977203607559204
976,813.3333333333334,0.999097466468811
992,826.6666666666666,0.9994848966598511
1008,840.0,0.9995021224021912
1024,853.3333333333334,0.9995058178901672
