cycles,ns,cdf
768,640.0,0
768,640.0,0.08599507808685303
784,653.3333333333334,0.7999449968338013
800,666.6666666666666,0.9004181623458862
816,680.0,0.9057825207710266
832,693.3333333333334,0.9076524972915649
848,706.6666666666666,0.9092597365379333
864,720.0,0.9110512733459473
880,733.3333333333334,0.913591206073761
896,746.6666666666666,0.9162743091583252
912,760.0,0.9191451072692871
928,773.3333333333334,0.9231488108634949
944,786.6666666666666,0.9273959994316101
960,800.0,0.9318705797195435
976,813.3333333333334,0.9364346265792847
992,826.6666666666666,0.9407376050949097
1008,840.0,0.9444526433944702
1024,853.3333333333334,0.9484772682189941
1040,866.6666666666666,0.9530771374702454
1056,880.0,0.9567307233810425
1072,893.3333333333334,0.9611391425132751
1088,906.6666666666666,0.9663609862327576
1104,920.0,0.9722092747688293
1120,933.3333333333334,0.9786098599433899
1136,946.6666666666666,0.9855532050132751
1152,960.0,0.9927645921707153
1168,973.3333333333334,0.9974406361579895
1184,986.6666666666666,0.9994984269142151
1200,1000.0,0.9998114109039307
1216,1013.3333333333334,0.9998708367347717
1232,1026.6666666666667,0.9999089241027832
1248,1040.0,0.9999340772628784
1264,1053.3333333333333,0.9999646544456482
1280,1066.6666666666667,0.9999794363975525
1296,1080.0,0.9999810457229614
1312,1093.3333333333333,0.9999830722808838
1328,1106.6666666666667,0.9999852776527405
1344,1120.0,0.9999865889549255
1360,1133.3333333333333,0.9999880194664001
1376,1146.6666666666667,0.9999889731407166
1392,1160.0,0.999989926815033
1408,1173.3333333333333,0.9999909996986389
1424,1186.6666666666667,0.9999920725822449
1440,1200.0,0.9999929666519165
1456,1213.3333333333333,0.9999942779541016
1472,1226.6666666666667,0.9999948740005493
1488,1240.0,0.9999954104423523
1504,1253.3333333333333,0.9999962449073792
1520,1266.6666666666667,0.9999966025352478
1536,1280.0,0.9999977946281433
1552,1293.3333333333333,0.9999982714653015
1568,1306.6666666666667,0.9999986886978149
1584,1320.0,0.9999990463256836
1600,1333.3333333333333,0.9999992847442627
1616,1346.6666666666667,0.9999998211860657
1632,1360.0,0.9999999403953552
1648,1373.3333333333333,1.0
624,520.0,0
624,520.0,0.0008077025413513184
640,533.3333333333334,0.01386415958404541
656,546.6666666666666,0.2603323459625244
672,560.0,0.9638679027557373
688,573.3333333333334,0.9968345165252686
704,586.6666666666666,0.9998450875282288
720,600.0,0.999997079372406
736,613.3333333333334,1.0
768,640.0,0
768,640.0,0.08803671598434448
784,653.3333333333334,0.8411650061607361
800,666.6666666666666,0.9473041296005249
816,680.0,0.9525842666625977
832,693.3333333333334,0.9543355107307434
848,706.6666666666666,0.9556639790534973
864,720.0,0.9569362998008728
880,733.3333333333334,0.9585762619972229
896,746.6666666666666,0.9602367281913757
912,760.0,0.961938738822937
928,773.3333333333334,0.9639934301376343
944,786.6666666666666,0.965980589389801
960,800.0,0.9679847359657288
976,813.3333333333334,0.9698987603187561
992,826.6666666666666,0.9718984961509705
1008,840.0,0.9737193584442139
1024,853.3333333333334,0.9755343794822693
1040,866.6666666666666,0.9777315258979797
1056,880.0,0.9796662926673889
1072,893.3333333333334,0.9817492365837097
1088,906.6666666666666,0.9840896725654602
1104,920.0,0.9865685105323792
1120,933.3333333333334,0.989063560962677
1136,946.6666666666666,0.9915722012519836
1152,960.0,0.9943952560424805
1168,973.3333333333334,0.9964553713798523
1184,986.6666666666666,0.9979512691497803
1200,1000.0,0.9991559982299805
1216,1013.3333333333334,0.9996734857559204
1232,1026.6666666666667,0.9997179508209229
1248,1040.0,0.9997434020042419
1264,1053.3333333333333,0.9998795986175537
1280,1066.6666666666667,0.9999811053276062
1296,1080.0,0.9999833703041077
1312,1093.3333333333333,0.9999845027923584
1328,1106.6666666666667,0.9999854564666748
1344,1120.0,0.9999865293502808
1360,1133.3333333333333,0.9999875426292419
1376,1146.6666666666667,0.9999884963035583
1392,1160.0,0.9999897480010986
1408,1173.3333333333333,0.9999908208847046
1424,1186.6666666666667,0.9999917149543762
1440,1200.0,0.9999921917915344
1456,1213.3333333333333,0.9999931454658508
1472,1226.6666666666667,0.9999942183494568
1488,1240.0,0.9999951124191284
1504,1253.3333333333333,0.9999958872795105
1520,1266.6666666666667,0.9999966025352478
1536,1280.0,0.9999971985816956
1552,1293.3333333333333,0.9999979138374329
1568,1306.6666666666667,0.9999986290931702
1584,1320.0,0.999998927116394
1600,1333.3333333333333,0.9999989867210388
1616,1346.6666666666667,0.9999995827674866
1632,1360.0,0.9999997019767761
1648,1373.3333333333333,0.9999998211860657
1664,1386.6666666666667,0.9999999403953552
1696,1413.3333333333333,1.0
624,520.0,0
624,520.0,0.00022977590560913086
640,533.3333333333334,0.004959523677825928
656,546.6666666666666,0.09648668766021729
672,560.0,0.3614652752876282
688,573.3333333333334,0.37367820739746094
704,586.6666666666666,0.3748292922973633
720,600.0,0.37488889694213867
736,613.3333333333334,0.3748905062675476
