0000:00:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:01.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:02.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:03.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:05.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:05.2 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:11.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:16.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:16.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1a.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1c.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1c.4 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1c.7 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1d.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1e.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1f.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:00:1f.2 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:02:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:02:00.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:03:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:06:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:06:00.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:07:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:08:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:08:01.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:09:00.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:08.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:09.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.2 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.3 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.4 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.5 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:10.7 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:13.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:13.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:13.4 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:13.5 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:16.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:16.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:16.2 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:0a.0 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:0a.1 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
0000:3f:0a.2 0,2,4,6,8,10,12,14,16,18,20,22 00000000,00000000,00000000,00000000,00000000,00000000,00000000,00555555
