"Payload(Bytes)" "PCIe Write BW" "PCIe Write Trans/s" "PCIe Read BW" "PCIe Read Trans/s" "PCIe Read/Write BW" "PCIe Read/Write Trans/s" "40G Ethernet BW" "40G Ethernet PPS" 
337 50.67 18793755.1 51.74 19192561.5 47.69 17690943.0 37.76 14005602
338 50.69 18745066.6 51.76 19141787.6 47.72 17647794.4 37.77 13966480
339 50.71 18696629.7 51.78 19091281.5 47.74 17604855.7 37.77 13927576
340 50.72 18648442.5 51.79 19041041.3 47.77 17562125.5 37.78 13888888
341 50.74 18600503.1 51.81 18991064.8 47.79 17519602.2 37.78 13850415
342 50.76 18552809.5 51.82 18941350.0 47.82 17477284.3 37.79 13812154
343 50.78 18505359.9 51.84 18891894.8 47.84 17435170.4 37.80 13774104
344 50.80 18458152.3 51.86 18842697.1 47.87 17393258.9 37.80 13736263
345 50.81 18411185.0 51.87 18793755.1 47.89 17351548.4 37.81 13698630
346 50.83 18364456.1 51.89 18745066.6 47.91 17310037.6 37.81 13661202
347 50.85 18317963.8 51.90 18696629.7 47.94 17268724.8 37.82 13623978
348 50.87 18271706.3 51.92 18648442.5 47.96 17227608.8 37.83 13586956
349 50.89 18225681.9 51.93 18600503.1 47.99 17186688.1 37.83 13550135
350 50.90 18179888.7 51.95 18552809.5 48.01 17145961.4 37.84 13513513
351 50.92 18134325.1 51.96 18505359.9 48.03 17105427.2 37.84 13477088
352 50.94 18088989.3 51.98 18458152.3 48.06 17065084.2 37.85 13440860
353 50.96 18043879.6 51.99 18411185.0 48.08 17024931.1 37.86 13404825
354 50.97 17998994.3 52.01 18364456.1 48.10 16984966.4 37.86 13368983
355 50.99 17954331.8 52.02 18317963.8 48.12 16945189.0 37.87 13333333
356 51.01 17909890.4 52.04 18271706.3 48.15 16905597.4 37.87 13297872
357 51.02 17865668.4 52.05 18225681.9 48.17 16866190.5 37.88 13262599
358 51.04 17821664.3 52.07 18179888.7 48.19 16826966.8 37.88 13227513
359 51.06 17777876.4 52.08 18134325.1 48.21 16787925.1 37.89 13192612
360 51.07 17734303.2 52.10 18088989.3 48.24 16749064.1 37.89 13157894
361 51.09 17690943.0 52.11 18043879.6 48.26 16710382.7 37.90 13123359
362 51.11 17647794.4 52.13 17998994.3 48.28 16671879.5 37.91 13089005
363 51.12 17604855.7 52.14 17954331.8 48.30 16633553.3 37.91 13054830
364 51.14 17562125.5 52.15 17909890.4 48.33 16595403.0 37.92 13020833
365 51.16 17519602.2 52.17 17865668.4 48.35 16557427.2 37.92 12987012
366 51.17 17477284.3 52.18 17821664.3 48.37 16519624.9 37.93 12953367
367 51.19 17435170.4 52.20 17777876.4 48.39 16481994.8 37.93 12919896
368 51.21 17393258.9 52.21 17734303.2 48.41 16444535.7 37.94 12886597
369 51.22 17351548.4 52.22 17690943.0 48.43 16407246.5 37.94 12853470
370 51.24 17310037.6 52.24 17647794.4 48.46 16370126.0 37.95 12820512
371 51.25 17268724.8 52.25 17604855.7 48.48 16333173.1 37.95 12787723
372 51.27 17227608.8 52.26 17562125.5 48.50 16296386.7 37.96 12755102
373 51.29 17186688.1 52.28 17519602.2 48.52 16259765.6 37.96 12722646
374 51.30 17145961.4 52.29 17477284.3 48.54 16223308.8 37.97 12690355
375 51.32 17105427.2 52.31 17435170.4 48.56 16187015.0 37.97 12658227
376 51.33 17065084.2 52.32 17393258.9 48.58 16150883.3 37.98 12626262
377 51.35 17024931.1 52.33 17351548.4 48.60 16114912.5 37.98 12594458
378 51.36 16984966.4 52.35 17310037.6 48.62 16079101.6 37.99 12562814
379 51.38 16945189.0 52.36 17268724.8 48.64 16043449.5 37.99 12531328
380 51.39 16905597.4 52.37 17227608.8 48.66 16007955.1 38.00 12500000
381 51.41 16866190.5 52.39 17186688.1 48.68 15972617.4 38.00 12468827
382 51.42 16826966.8 52.40 17145961.4 48.70 15937435.5 38.01 12437810
383 51.44 16787925.1 52.41 17105427.2 48.72 15902408.1 38.01 12406947
384 51.45 16749064.1 52.42 17065084.2 48.75 15867534.4 38.02 12376237
385 51.47 16710382.7 52.44 17024931.1 48.77 15832813.4 38.02 12345679
386 51.48 16671879.5 52.45 16984966.4 48.78 15798243.9 38.03 12315270
387 51.50 16633553.3 52.46 16945189.0 48.80 15763825.1 38.03 12285012
388 51.51 16595403.0 52.47 16905597.4 48.82 15729555.9 38.04 12254901
389 51.53 16557427.2 52.49 16866190.5 48.84 15695435.4 38.04 12224938
390 51.54 16519624.9 52.50 16826966.8 48.86 15661462.6 38.05 12195121
391 51.56 16481994.8 52.51 16787925.1 48.88 15627636.5 38.05 12165450
392 51.57 16444535.7 52.53 16749064.1 48.90 15593956.3 38.06 12135922
393 51.58 16407246.5 52.54 16710382.7 48.92 15560420.9 38.06 12106537
394 51.60 16370126.0 52.55 16671879.5 48.94 15527029.4 38.07 12077294
395 51.61 16333173.1 52.56 16633553.3 48.96 15493780.9 38.07 12048192
396 51.63 16296386.7 52.57 16595403.0 48.98 15460674.6 38.08 12019230
397 51.64 16259765.6 52.59 16557427.2 49.00 15427709.4 38.08 11990407
398 51.66 16223308.8 52.60 16519624.9 49.02 15394884.5 38.09 11961722
399 51.67 16187015.0 52.61 16481994.8 49.04 15362198.9 38.09 11933174
400 51.68 16150883.3 52.62 16444535.7 49.05 15329651.9 38.10 11904761
401 51.70 16114912.5 52.63 16407246.5 49.07 15297242.5 38.10 11876484
402 51.71 16079101.6 52.65 16370126.0 49.09 15264969.8 38.10 11848341
403 51.72 16043449.5 52.66 16333173.1 49.11 15232833.1 38.11 11820330
404 51.74 16007955.1 52.67 16296386.7 49.13 15200831.3 38.11 11792452
405 51.75 15972617.4 52.68 16259765.6 49.15 15168963.7 38.12 11764705
406 51.76 15937435.5 52.69 16223308.8 49.17 15137229.5 38.12 11737089
407 51.78 15902408.1 52.70 16187015.0 49.18 15105627.8 38.13 11709601
408 51.79 15867534.4 52.72 16150883.3 49.20 15074157.7 38.13 11682242
409 51.80 15832813.4 52.73 16114912.5 49.22 15042818.5 38.14 11655011
410 51.82 15798243.9 52.74 16079101.6 49.24 15011609.3 38.14 11627906
411 51.83 15763825.1 52.75 16043449.5 49.26 14980529.4 38.14 11600928
412 51.84 15729555.9 52.76 16007955.1 49.27 14949577.9 38.15 11574074
413 51.86 15695435.4 52.77 15972617.4 49.29 14918754.0 38.15 11547344
414 51.87 15661462.6 52.78 15937435.5 49.31 14888057.0 38.16 11520737
415 51.88 15627636.5 52.80 15902408.1 49.33 14857486.0 38.16 11494252
416 51.90 15593956.3 52.81 15867534.4 49.34 14827040.4 38.17 11467889
417 51.91 15560420.9 52.82 15832813.4 49.36 14796719.2 38.17 11441647
418 51.92 15527029.4 52.83 15798243.9 49.38 14766521.8 38.17 11415525
419 51.94 15493780.9 52.84 15763825.1 49.40 14736447.5 38.18 11389521
420 51.95 15460674.6 52.85 15729555.9 49.41 14706495.3 38.18 11363636
421 51.96 15427709.4 52.86 15695435.4 49.43 14676664.7 38.19 11337868
422 51.97 15394884.5 52.87 15661462.6 49.45 14646954.9 38.19 11312217
423 51.99 15362198.9 52.88 15627636.5 49.47 14617365.1 38.19 11286681
424 52.00 15329651.9 52.89 15593956.3 49.48 14587894.6 38.20 11261261
425 52.01 15297242.5 52.91 15560420.9 49.50 14558542.7 38.20 11235955
426 52.02 15264969.8 52.92 15527029.4 49.52 14529308.6 38.21 11210762
427 52.04 15232833.1 52.93 15493780.9 49.53 14500191.8 38.21 11185682
428 52.05 15200831.3 52.94 15460674.6 49.55 14471191.4 38.21 11160714
429 52.06 15168963.7 52.95 15427709.4 49.57 14442306.8 38.22 11135857
430 52.07 15137229.5 52.96 15394884.5 49.58 14413537.3 38.22 11111111
431 52.08 15105627.8 52.97 15362198.9 49.60 14384882.1 38.23 11086474
432 52.10 15074157.7 52.98 15329651.9 49.62 14356340.7 38.23 11061946
433 52.11 15042818.5 52.99 15297242.5 49.63 14327912.3 38.23 11037527
434 52.12 15011609.3 53.00 15264969.8 49.65 14299596.3 38.24 11013215
435 52.13 14980529.4 53.01 15232833.1 49.66 14271391.9 38.24 10989010
436 52.14 14949577.9 53.02 15200831.3 49.68 14243298.6 38.25 10964912
437 52.16 14918754.0 53.03 15168963.7 49.70 14215315.7 38.25 10940919
438 52.17 14888057.0 53.04 15137229.5 49.71 14187442.6 38.25 10917030
439 52.18 14857486.0 53.05 15105627.8 49.73 14159678.5 38.26 10893246
440 52.19 14827040.4 53.06 15074157.7 49.74 14132022.9 38.26 10869565
441 52.20 14796719.2 53.07 15042818.5 49.76 14104475.1 38.26 10845986
442 52.21 14766521.8 53.08 15011609.3 49.78 14077034.4 38.27 10822510
443 52.23 14736447.5 53.09 14980529.4 49.79 14049700.4 38.27 10799136
444 52.24 14706495.3 53.10 14949577.9 49.81 14022472.3 38.28 10775862
445 52.25 14676664.7 53.11 14918754.0 49.82 13995349.5 38.28 10752688
446 52.26 14646954.9 53.12 14888057.0 49.84 13968331.5 38.28 10729613
447 52.27 14617365.1 53.13 14857486.0 49.85 13941417.5 38.29 10706638
448 52.28 14587894.6 53.14 14827040.4 49.87 13914607.1 38.29 10683760
449 52.29 14558542.7 53.15 14796719.2 49.89 13887899.6 38.29 10660980
450 52.31 14529308.6 53.16 14766521.8 49.90 13861294.5 38.30 10638297
451 52.32 14500191.8 53.17 14736447.5 49.92 13834791.0 38.30 10615711
452 52.33 14471191.4 53.18 14706495.3 49.93 13808388.7 38.31 10593220
453 52.34 14442306.8 53.19 14676664.7 49.95 13782087.1 38.31 10570824
454 52.35 14413537.3 53.20 14646954.9 49.96 13755885.4 38.31 10548523
455 52.36 14384882.1 53.21 14617365.1 49.98 13729783.1 38.32 10526315
456 52.37 14356340.7 53.22 14587894.6 49.99 13703779.7 38.32 10504201
457 52.38 14327912.3 53.23 14558542.7 50.01 13677874.7 38.32 10482180
458 52.39 14299596.3 53.24 14529308.6 50.02 13652067.4 38.33 10460251
459 52.40 14271391.9 53.24 14500191.8 50.04 13626357.3 38.33 10438413
460 52.42 14243298.6 53.25 14471191.4 50.05 13600743.8 38.33 10416666
461 52.43 14215315.7 53.26 14442306.8 50.07 13575226.5 38.34 10395010
462 52.44 14187442.6 53.27 14413537.3 50.08 13549804.7 38.34 10373443
463 52.45 14159678.5 53.28 14384882.1 50.09 13524478.0 38.34 10351966
464 52.46 14132022.9 53.29 14356340.7 50.11 13499245.7 38.35 10330578
465 52.47 14104475.1 53.30 14327912.3 50.12 13474107.5 38.35 10309278
466 52.48 14077034.4 53.31 14299596.3 50.14 13449062.6 38.35 10288065
467 52.49 14049700.4 53.32 14271391.9 50.15 13424110.8 38.36 10266940
468 52.50 14022472.3 53.33 14243298.6 50.17 13399251.3 38.36 10245901
469 52.51 13995349.5 53.34 14215315.7 50.18 13374483.7 38.36 10224948
470 52.52 13968331.5 53.34 14187442.6 50.20 13349807.6 38.37 10204081
471 52.53 13941417.5 53.35 14159678.5 50.21 13325222.3 38.37 10183299
472 52.54 13914607.1 53.36 14132022.9 50.22 13300727.4 38.37 10162601
473 52.55 13887899.6 53.37 14104475.1 50.24 13276322.4 38.38 10141987
474 52.56 13861294.5 53.38 14077034.4 50.25 13252006.8 38.38 10121457
475 52.57 13834791.0 53.39 14049700.4 50.27 13227780.1 38.38 10101010
476 52.58 13808388.7 53.40 14022472.3 50.28 13203641.8 38.39 10080645
477 52.59 13782087.1 53.41 13995349.5 50.29 13179591.4 38.39 10060362
478 52.60 13755885.4 53.41 13968331.5 50.31 13155628.6 38.39 10040160
479 52.61 13729783.1 53.42 13941417.5 50.32 13131752.6 38.40 10020040
480 52.62 13703779.7 53.43 13914607.1 50.33 13107963.2 38.40 10000000
481 52.63 13677874.7 53.44 13887899.6 50.35 13084259.9 38.40 9980039
482 52.64 13652067.4 53.45 13861294.5 50.36 13060642.1 38.41 9960159
483 52.65 13626357.3 53.46 13834791.0 50.38 13037109.4 38.41 9940357
484 52.66 13600743.8 53.47 13808388.7 50.39 13013661.3 38.41 9920634
485 52.67 13575226.5 53.47 13782087.1 50.40 12990297.5 38.42 9900990
486 52.68 13549804.7 53.48 13755885.4 50.42 12967017.4 38.42 9881422
487 52.69 13524478.0 53.49 13729783.1 50.43 12943820.6 38.42 9861932
488 52.70 13499245.7 53.50 13703779.7 50.44 12920706.6 38.43 9842519
489 52.71 13474107.5 53.51 13677874.7 50.46 12897675.1 38.43 9823182
490 52.72 13449062.6 53.52 13652067.4 50.47 12874725.5 38.43 9803921
491 52.73 13424110.8 53.52 13626357.3 50.48 12851857.4 38.43 9784735
492 52.74 13399251.3 53.53 13600743.8 50.50 12829070.4 38.44 9765625
493 52.75 13374483.7 53.54 13575226.5 50.51 12806364.1 38.44 9746588
494 52.76 13349807.6 53.55 13549804.7 50.52 12783738.0 38.44 9727626
495 52.77 13325222.3 53.56 13524478.0 50.53 12761191.7 38.45 9708737
496 52.78 13300727.4 53.57 13499245.7 50.55 12738724.8 38.45 9689922
497 52.79 13276322.4 53.57 13474107.5 50.56 12716336.9 38.45 9671179
498 52.80 13252006.8 53.58 13449062.6 50.57 12694027.5 38.46 9652509
499 52.81 13227780.1 53.59 13424110.8 50.59 12671796.3 38.46 9633911
500 52.81 13203641.8 53.60 13399251.3 50.60 12649642.8 38.46 9615384
501 52.82 13179591.4 53.60 13374483.7 50.61 12627566.7 38.46 9596928
502 52.83 13155628.6 53.61 13349807.6 50.62 12605567.4 38.47 9578544
503 52.84 13131752.6 53.62 13325222.3 50.64 12583644.7 38.47 9560229
504 52.85 13107963.2 53.63 13300727.4 50.65 12561798.1 38.47 9541984
505 52.86 13084259.9 53.64 13276322.4 50.66 12540027.2 38.48 9523809
506 52.87 13060642.1 53.64 13252006.8 50.67 12518331.7 38.48 9505703
507 52.88 13037109.4 53.65 13227780.1 50.69 12496711.1 38.48 9487666
508 52.89 13013661.3 53.66 13203641.8 50.70 12475165.0 38.48 9469696
509 52.90 12990297.5 53.67 13179591.4 50.71 12453693.1 38.49 9451795
510 52.91 12967017.4 53.67 13155628.6 50.72 12432295.0 38.49 9433962
511 52.91 12943820.6 53.68 13131752.6 50.74 12410970.3 38.49 9416195
512 52.92 12920706.6 53.69 13107963.2 50.75 12389718.7 38.50 9398496
513 50.76 12368539.7 51.82 12627566.7 46.91 11430640.9 38.50 9380863
514 50.77 12347432.9 51.83 12605567.4 46.93 11412611.5 38.50 9363295
515 50.78 12326398.1 51.84 12583644.7 46.95 11394638.9 38.50 9345794
516 50.80 12305434.9 51.86 12561798.1 46.96 11376722.8 38.51 9328358
517 50.81 12284542.8 51.87 12540027.2 46.98 11358863.0 38.51 9310986
518 50.82 12263721.5 51.88 12518331.7 47.00 11341059.1 38.51 9293680
519 50.83 12242970.7 51.89 12496711.1 47.01 11323311.0 38.52 9276437
520 50.84 12222290.0 51.90 12475165.0 47.03 11305618.3 38.52 9259259
521 50.86 12201679.1 51.91 12453693.1 47.05 11287980.8 38.52 9242144
522 50.87 12181137.5 51.92 12432295.0 47.07 11270398.3 38.52 9225092
523 50.88 12160665.0 51.93 12410970.3 47.08 11252870.5 38.53 9208103
524 50.89 12140261.2 51.94 12389718.7 47.10 11235397.1 38.53 9191176
525 50.90 12119925.8 51.95 12368539.7 47.12 11217977.8 38.53 9174311
526 50.92 12099658.4 51.96 12347432.9 47.13 11200612.5 38.53 9157509
527 50.93 12079458.6 51.97 12326398.1 47.15 11183300.9 38.54 9140767
528 50.94 12059326.2 51.98 12305434.9 47.17 11166042.8 38.54 9124087
529 50.95 12039260.7 51.99 12284542.8 47.18 11148837.8 38.54 9107468
530 50.96 12019262.0 52.00 12263721.5 47.20 11131685.7 38.55 9090909
531 50.97 11999329.5 52.01 12242970.7 47.21 11114586.3 38.55 9074410
532 50.98 11979463.1 52.02 12222290.0 47.23 11097539.4 38.55 9057971
533 51.00 11959662.3 52.03 12201679.1 47.25 11080544.7 38.55 9041591
534 51.01 11939926.9 52.04 12181137.5 47.26 11063602.0 38.56 9025270
535 51.02 11920256.5 52.05 12160665.0 47.28 11046711.0 38.56 9009009
536 51.03 11900650.8 52.06 12140261.2 47.30 11029871.5 38.56 8992805
537 51.04 11881109.5 52.07 12119925.8 47.31 11013083.3 38.56 8976660
538 51.05 11861632.3 52.08 12099658.4 47.33 10996346.1 38.57 8960573
539 51.06 11842218.8 52.09 12079458.6 47.34 10979659.6 38.57 8944543
540 51.07 11822868.8 52.10 12059326.2 47.36 10963023.8 38.57 8928571
541 51.09 11803581.9 52.11 12039260.7 47.38 10946438.3 38.57 8912655
542 51.10 11784357.8 52.12 12019262.0 47.39 10929902.9 38.58 8896797
543 51.11 11765196.3 52.13 11999329.5 47.41 10913417.4 38.58 8880994
544 51.12 11746096.9 52.13 11979463.1 47.42 10896981.5 38.58 8865248
545 51.13 11727059.5 52.14 11959662.3 47.44 10880595.0 38.58 8849557
546 51.14 11708083.7 52.15 11939926.9 47.46 10864257.8 38.59 8833922
547 51.15 11689169.1 52.16 11920256.5 47.47 10847969.6 38.59 8818342
548 51.16 11670315.7 52.17 11900650.8 47.49 10831730.1 38.59 8802816
549 51.17 11651522.9 52.18 11881109.5 47.50 10815539.2 38.59 8787346
550 51.18 11632790.5 52.19 11861632.3 47.52 10799396.6 38.60 8771929
551 51.20 11614118.3 52.20 11842218.8 47.53 10783302.1 38.60 8756567
552 51.21 11595505.9 52.21 11822868.8 47.55 10767255.5 38.60 8741258
553 51.22 11576953.1 52.22 11803581.9 47.56 10751256.6 38.60 8726003
554 51.23 11558459.6 52.23 11784357.8 47.58 10735305.2 38.61 8710801
555 51.24 11540025.0 52.24 11765196.3 47.59 10719401.0 38.61 8695652
556 51.25 11521649.2 52.25 11746096.9 47.61 10703543.9 38.61 8680555
557 51.26 11503331.8 52.26 11727059.5 47.62 10687733.7 38.61 8665511
558 51.27 11485072.5 52.26 11708083.7 47.64 10671970.1 38.62 8650519
559 51.28 11466871.2 52.27 11689169.1 47.65 10656252.9 38.62 8635578
560 51.29 11448727.4 52.28 11670315.7 47.67 10640581.9 38.62 8620689
561 51.30 11430640.9 52.29 11651522.9 47.68 10624957.0 38.62 8605851
562 51.31 11412611.5 52.30 11632790.5 47.70 10609377.9 38.63 8591065
563 51.32 11394638.9 52.31 11614118.3 47.71 10593844.4 38.63 8576329
564 51.33 11376722.8 52.32 11595505.9 47.73 10578356.3 38.63 8561643
565 51.34 11358863.0 52.33 11576953.1 47.74 10562913.4 38.63 8547008
566 51.35 11341059.1 52.34 11558459.6 47.76 10547515.6 38.63 8532423
567 51.36 11323311.0 52.35 11540025.0 47.77 10532162.6 38.64 8517887
568 51.37 11305618.3 52.35 11521649.2 47.79 10516854.2 38.64 8503401
569 51.38 11287980.8 52.36 11503331.8 47.80 10501590.3 38.64 8488964
570 51.39 11270398.3 52.37 11485072.5 47.82 10486370.6 38.64 8474576
571 51.40 11252870.5 52.38 11466871.2 47.83 10471194.9 38.65 8460236
572 51.41 11235397.1 52.39 11448727.4 47.85 10456063.2 38.65 8445945
573 51.42 11217977.8 52.40 11430640.9 47.86 10440975.0 38.65 8431703
574 51.43 11200612.5 52.41 11412611.5 47.88 10425930.4 38.65 8417508
575 51.44 11183300.9 52.42 11394638.9 47.89 10410929.1 38.66 8403361
576 51.45 11166042.8 52.42 11376722.8 47.90 10395970.8 38.66 8389261
577 51.46 11148837.8 52.43 11358863.0 47.92 10381055.5 38.66 8375209
578 51.47 11131685.7 52.44 11341059.1 47.93 10366183.0 38.66 8361204
579 51.48 11114586.3 52.45 11323311.0 47.95 10351352.9 38.66 8347245
580 51.49 11097539.4 52.46 11305618.3 47.96 10336565.3 38.67 8333333
581 51.50 11080544.7 52.47 11287980.8 47.98 10321819.8 38.67 8319467
582 51.51 11063602.0 52.47 11270398.3 47.99 10307116.4 38.67 8305647
583 51.52 11046711.0 52.48 11252870.5 48.00 10292454.8 38.67 8291873
584 51.53 11029871.5 52.49 11235397.1 48.02 10277834.8 38.68 8278145
585 51.54 11013083.3 52.50 11217977.8 48.03 10263256.3 38.68 8264462
586 51.55 10996346.1 52.51 11200612.5 48.05 10248719.1 38.68 8250825
587 51.56 10979659.6 52.52 11183300.9 48.06 10234223.1 38.68 8237232
588 51.57 10963023.8 52.53 11166042.8 48.07 10219767.9 38.68 8223684
589 51.58 10946438.3 52.53 11148837.8 48.09 10205353.6 38.69 8210180
590 51.59 10929902.9 52.54 11131685.7 48.10 10190979.9 38.69 8196721
591 51.60 10913417.4 52.55 11114586.3 48.12 10176646.6 38.69 8183306
592 51.61 10896981.5 52.56 11097539.4 48.13 10162353.5 38.69 8169934
593 51.62 10880595.0 52.57 11080544.7 48.14 10148100.6 38.69 8156606
594 51.63 10864257.8 52.57 11063602.0 48.16 10133887.5 38.70 8143322
595 51.64 10847969.6 52.58 11046711.0 48.17 10119714.3 38.70 8130081
596 51.65 10831730.1 52.59 11029871.5 48.18 10105580.6 38.70 8116883
597 51.66 10815539.2 52.60 11013083.3 48.20 10091486.3 38.70 8103727
598 51.66 10799396.6 52.61 10996346.1 48.21 10077431.3 38.71 8090614
599 51.67 10783302.1 52.61 10979659.6 48.22 10063415.4 38.71 8077544
600 51.68 10767255.5 52.62 10963023.8 48.24 10049438.5 38.71 8064516
601 51.69 10751256.6 52.63 10946438.3 48.25 10035500.3 38.71 8051529
602 51.70 10735305.2 52.64 10929902.9 48.26 10021600.7 38.71 8038585
603 51.71 10719401.0 52.65 10913417.4 48.28 10007739.6 38.72 8025682
604 51.72 10703543.9 52.65 10896981.5 48.29 9993916.7 38.72 8012820
605 51.73 10687733.7 52.66 10880595.0 48.30 9980132.0 38.72 8000000
606 51.74 10671970.1 52.67 10864257.8 48.32 9966385.3 38.72 7987220
607 51.75 10656252.9 52.68 10847969.6 48.33 9952676.3 38.72 7974481
608 51.76 10640581.9 52.69 10831730.1 48.34 9939005.1 38.73 7961783
609 51.76 10624957.0 52.69 10815539.2 48.36 9925371.3 38.73 7949125
610 51.77 10609377.9 52.70 10799396.6 48.37 9911774.9 38.73 7936507
611 51.78 10593844.4 52.71 10783302.1 48.38 9898215.7 38.73 7923930
612 51.79 10578356.3 52.72 10767255.5 48.40 9884693.6 38.73 7911392
613 51.80 10562913.4 52.72 10751256.6 48.41 9871208.3 38.74 7898894
614 51.81 10547515.6 52.73 10735305.2 48.42 9857759.8 38.74 7886435
615 51.82 10532162.6 52.74 10719401.0 48.43 9844347.9 38.74 7874015
616 51.83 10516854.2 52.75 10703543.9 48.45 9830972.4 38.74 7861635
617 51.84 10501590.3 52.75 10687733.7 48.46 9817633.2 38.74 7849293
618 51.84 10486370.6 52.76 10671970.1 48.47 9804330.2 38.75 7836990
619 51.85 10471194.9 52.77 10656252.9 48.49 9791063.2 38.75 7824726
620 51.86 10456063.2 52.78 10640581.9 48.50 9777832.0 38.75 7812500
621 51.87 10440975.0 52.78 10624957.0 48.51 9764636.6 38.75 7800312
622 51.88 10425930.4 52.79 10609377.9 48.52 9751476.7 38.75 7788161
623 51.89 10410929.1 52.80 10593844.4 48.54 9738352.2 38.76 7776049
624 51.90 10395970.8 52.81 10578356.3 48.55 9725263.0 38.76 7763975
625 51.91 10381055.5 52.81 10562913.4 48.56 9712209.0 38.76 7751937
626 51.91 10366183.0 52.82 10547515.6 48.57 9699190.0 38.76 7739938
627 51.92 10351352.9 52.83 10532162.6 48.59 9686205.8 38.76 7727975
628 51.93 10336565.3 52.84 10516854.2 48.60 9673256.3 38.77 7716049
629 51.94 10321819.8 52.84 10501590.3 48.61 9660341.4 38.77 7704160
630 51.95 10307116.4 52.85 10486370.6 48.62 9647460.9 38.77 7692307
631 51.96 10292454.8 52.86 10471194.9 48.64 9634614.8 38.77 7680491
632 51.96 10277834.8 52.87 10456063.2 48.65 9621802.8 38.77 7668711
633 51.97 10263256.3 52.87 10440975.0 48.66 9609024.8 38.77 7656967
634 51.98 10248719.1 52.88 10425930.4 48.67 9596280.8 38.78 7645259
635 51.99 10234223.1 52.89 10410929.1 48.68 9583570.5 38.78 7633587
636 52.00 10219767.9 52.89 10395970.8 48.70 9570893.8 38.78 7621951
637 52.01 10205353.6 52.90 10381055.5 48.71 9558250.6 38.78 7610350
638 52.01 10190979.9 52.91 10366183.0 48.72 9545640.8 38.78 7598784
639 52.02 10176646.6 52.92 10351352.9 48.73 9533064.2 38.79 7587253
640 52.03 10162353.5 52.92 10336565.3 48.75 9520520.7 38.79 7575757
641 52.04 10148100.6 52.93 10321819.8 48.76 9508010.1 38.79 7564296
642 52.05 10133887.5 52.94 10307116.4 48.77 9495532.4 38.79 7552870
643 52.06 10119714.3 52.94 10292454.8 48.78 9483087.4 38.79 7541478
644 52.06 10105580.6 52.95 10277834.8 48.79 9470675.0 38.80 7530120
645 52.07 10091486.3 52.96 10263256.3 48.80 9458295.0 38.80 7518796
646 52.08 10077431.3 52.97 10248719.1 48.82 9445947.4 38.80 7507507
647 52.09 10063415.4 52.97 10234223.1 48.83 9433631.9 38.80 7496251
648 52.10 10049438.5 52.98 10219767.9 48.84 9421348.6 38.80 7485029
649 52.10 10035500.3 52.99 10205353.6 48.85 9409097.1 38.80 7473841
650 52.11 10021600.7 52.99 10190979.9 48.86 9396877.5 38.81 7462686
651 52.12 10007739.6 53.00 10176646.6 48.88 9384689.6 38.81 7451564
652 52.13 9993916.7 53.01 10162353.5 48.89 9372533.3 38.81 7440476
653 52.14 9980132.0 53.01 10148100.6 48.90 9360408.4 38.81 7429420
654 52.14 9966385.3 53.02 10133887.5 48.91 9348314.9 38.81 7418397
655 52.15 9952676.3 53.03 10119714.3 48.92 9336252.5 38.81 7407407
656 52.16 9939005.1 53.03 10105580.6 48.93 9324221.3 38.82 7396449
657 52.17 9925371.3 53.04 10091486.3 48.95 9312221.0 38.82 7385524
658 52.18 9911774.9 53.05 10077431.3 48.96 9300251.5 38.82 7374631
659 52.18 9898215.7 53.05 10063415.4 48.97 9288312.8 38.82 7363770
660 52.19 9884693.6 53.06 10049438.5 48.98 9276404.7 38.82 7352941
661 52.20 9871208.3 53.07 10035500.3 48.99 9264527.1 38.83 7342143
662 52.21 9857759.8 53.07 10021600.7 49.00 9252679.9 38.83 7331378
663 52.21 9844347.9 53.08 10007739.6 49.01 9240863.0 38.83 7320644
664 52.22 9830972.4 53.09 9993916.7 49.02 9229076.2 38.83 7309941
665 52.23 9817633.2 53.09 9980132.0 49.04 9217319.4 38.83 7299270
666 52.24 9804330.2 53.10 9966385.3 49.05 9205592.5 38.83 7288629
667 52.25 9791063.2 53.11 9952676.3 49.06 9193895.4 38.84 7278020
668 52.25 9777832.0 53.11 9939005.1 49.07 9182228.0 38.84 7267441
669 52.26 9764636.6 53.12 9925371.3 49.08 9170590.2 38.84 7256894
670 52.27 9751476.7 53.13 9911774.9 49.09 9158981.9 38.84 7246376
671 52.28 9738352.2 53.13 9898215.7 49.10 9147402.9 38.84 7235890
672 52.28 9725263.0 53.14 9884693.6 49.11 9135853.2 38.84 7225433
673 52.29 9712209.0 53.15 9871208.3 49.13 9124332.5 38.85 7215007
674 52.30 9699190.0 53.15 9857759.8 49.14 9112840.9 38.85 7204610
675 52.31 9686205.8 53.16 9844347.9 49.15 9101378.2 38.85 7194244
676 52.31 9673256.3 53.17 9830972.4 49.16 9089944.4 38.85 7183908
677 52.32 9660341.4 53.17 9817633.2 49.17 9078539.2 38.85 7173601
678 52.33 9647460.9 53.18 9804330.2 49.18 9067162.5 38.85 7163323
679 52.34 9634614.8 53.19 9791063.2 49.19 9055814.4 38.86 7153075
680 52.34 9621802.8 53.19 9777832.0 49.20 9044494.6 38.86 7142857
681 52.35 9609024.8 53.20 9764636.6 49.21 9033203.1 38.86 7132667
682 52.36 9596280.8 53.20 9751476.7 49.22 9021939.8 38.86 7122507
683 52.36 9583570.5 53.21 9738352.2 49.23 9010704.5 38.86 7112375
