"Payload(Bytes)" "PCIe Write BW" "PCIe Write Trans/s" "PCIe Read BW" "PCIe Read Trans/s" "PCIe Read/Write BW" "PCIe Read/Write Trans/s" "40G Ethernet BW" "40G Ethernet PPS" 
40 36.18 113056182.9 38.59 120593261.7 26.31 82222678.4 19.05 59523809
41 36.51 111316857.0 38.91 118616323.0 26.67 81298828.1 19.52 59523809
42 36.84 109630237.9 39.21 116703156.5 27.01 80395507.8 20.00 59523809
43 37.15 107993965.7 39.51 114850725.4 27.35 79512040.7 20.48 59523809
44 37.45 106405819.2 39.80 113056182.9 27.68 78647779.4 20.95 59523809
45 37.75 104863705.8 40.07 111316857.0 28.01 77802104.3 21.43 59523809
46 38.04 103365652.9 40.34 109630237.9 28.33 76974422.4 21.90 59523809
47 38.32 101909798.6 40.61 107993965.7 28.64 76164165.3 22.38 59523809
48 38.59 100494384.8 40.86 106405819.2 28.94 75370788.6 22.86 59523809
49 38.85 99117749.4 41.11 104863705.8 29.24 74593770.1 23.33 59523809
50 39.11 97778320.3 41.35 103365652.9 29.53 73832609.2 23.81 59523809
51 39.36 96474609.4 41.58 101909798.6 29.82 73086825.3 24.29 59523809
52 39.61 95205206.6 41.81 100494384.8 30.10 72355957.0 24.76 59523809
53 39.84 93968775.4 42.03 99117749.4 30.38 71639561.4 25.24 59523809
54 40.07 92764047.5 42.24 97778320.3 30.64 70937212.8 25.71 59523809
55 40.30 91589819.0 42.45 96474609.4 30.91 70248502.0 26.19 59523809
56 40.52 90444946.3 42.65 95205206.6 31.17 69573035.6 26.67 59523809
57 40.73 89328342.0 42.85 93968775.4 31.42 68910435.3 27.14 59523809
58 40.94 88238972.0 43.04 92764047.5 31.67 68260336.8 27.62 59523809
59 41.15 87175851.8 43.23 91589819.0 31.92 67622389.8 28.10 59523809
60 41.35 86138044.1 43.41 90444946.3 32.16 66996256.5 28.57 59523809
61 41.54 85124655.3 43.59 89328342.0 32.39 66381612.0 29.05 59523809
62 41.73 84134833.8 43.77 88238972.0 32.63 65778142.8 29.52 59523809
63 41.92 83167766.7 43.94 87175851.8 32.85 65185546.9 30.00 59523809
64 42.10 82222678.4 44.10 86138044.1 33.08 64603533.1 30.48 59523809
65 42.28 81298828.1 44.26 85124655.3 33.30 64031820.4 30.59 58823529
66 42.45 80395507.8 44.42 84134833.8 33.51 63470137.7 30.70 58139534
67 42.62 79512040.7 44.58 83167766.7 33.72 62918223.5 30.80 57471264
68 42.78 78647779.4 44.73 82222678.4 33.93 62375825.0 30.91 56818181
69 42.95 77802104.3 44.88 81298828.1 34.14 61842698.3 31.01 56179775
70 43.11 76974422.4 45.02 80395507.8 34.34 61318607.7 31.11 55555555
71 43.26 76164165.3 45.16 79512040.7 34.54 60803325.2 31.21 54945054
72 43.41 75370788.6 45.30 78647779.4 34.73 60296630.9 31.30 54347826
73 43.56 74593770.1 45.44 77802104.3 34.92 59798311.6 31.40 53763440
74 43.71 73832609.2 45.57 76974422.4 35.11 59308161.5 31.49 53191489
75 43.85 73086825.3 45.70 76164165.3 35.30 58825981.3 31.58 52631578
76 43.99 72355957.0 45.83 75370788.6 35.48 58351578.3 31.67 52083333
77 44.13 71639561.4 45.95 74593770.1 35.66 57884765.6 31.75 51546391
78 44.26 70937212.8 46.07 73832609.2 35.83 57425362.7 31.84 51020408
79 44.40 70248502.0 46.19 73086825.3 36.01 56973194.5 31.92 50505050
80 44.53 69573035.6 46.31 72355957.0 36.18 56528091.4 32.00 50000000
81 44.65 68910435.3 46.42 71639561.4 36.35 56089889.2 32.08 49504950
82 44.78 68260336.8 46.53 70937212.8 36.51 55658428.5 32.16 49019607
83 44.90 67622389.8 46.65 70248502.0 36.68 55233555.0 32.23 48543689
84 45.02 66996256.5 46.75 69573035.6 36.84 54815119.0 32.31 48076923
85 45.14 66381612.0 46.86 68910435.3 36.99 54402975.2 32.38 47619047
86 45.26 65778142.8 46.96 68260336.8 37.15 53996982.9 32.45 47169811
87 45.37 65185546.9 47.07 67622389.8 37.30 53597005.2 32.52 46728971
88 45.48 64603533.1 47.17 66996256.5 37.45 53202909.6 32.59 46296296
89 45.59 64031820.4 47.26 66381612.0 37.60 52814567.2 32.66 45871559
90 45.70 63470137.7 47.36 65778142.8 37.75 52431852.9 32.73 45454545
91 45.80 62918223.5 47.46 65185546.9 37.90 52054645.3 32.79 45045045
92 45.91 62375825.0 47.55 64603533.1 38.04 51682826.5 32.86 44642857
93 46.01 61842698.3 47.64 64031820.4 38.18 51316281.6 32.92 44247787
94 46.11 61318607.7 47.73 63470137.7 38.32 50954899.3 32.98 43859649
95 46.21 60803325.2 47.82 62918223.5 38.45 50598571.4 33.04 43478260
96 46.31 60296630.9 47.90 62375825.0 38.59 50247192.4 33.10 43103448
97 46.40 59798311.6 47.99 61842698.3 38.72 49900660.0 33.16 42735042
